url,Prices,Model_Name
https://www.trocafone.com/vender/iphone/6s/482-iphone-6s-16gb-ouro-rosa,652,iPhone 6S 16GB Ouro Rosa
https://www.trocafone.com/vender/iphone/6s/480-iphone-6s-16gb-dourado,652,iPhone 6S 16GB Dourado
https://www.trocafone.com/vender/iphone/6s/487-iphone-6s-128gb-prateado,772,iPhone 6S 128GB Prateado
https://www.trocafone.com/vender/iphone/6s/490-iphone-6s-128gb-ouro-rosa,772,iPhone 6S 128GB Ouro Rosa
https://www.trocafone.com/vender/iphone/6s/488-iphone-6s-128gb-dourado,772,iPhone 6S 128GB Dourado
https://www.trocafone.com/vender/iphone/6s/489-iphone-6s-128gb-cinza-espacial,772,iPhone 6S 128GB Cinza Espacial
https://www.trocafone.com/vender/iphone/6s/634-iphone-6s-32gb-dourado,704,Iphone 6s 32GB Dourado
https://www.trocafone.com/vender/iphone/iphone-se/578-iphone-se-64gb-prateado,445,iPhone SE 64GB Prateado
https://www.trocafone.com/vender/iphone/iphone-se/581-iphone-se-64gb-ouro-rosa,445,iPhone SE 64GB Ouro Rosa
https://www.trocafone.com/vender/iphone/iphone-se/579-iphone-se-64gb-dourado,445,iPhone SE 64GB Dourado
https://www.trocafone.com/vender/iphone/iphone-se/580-iphone-se-64gb-cinza-espacial,445,iPhone SE 64GB Cinza Espacial
https://www.trocafone.com/vender/iphone/iphone-se/928-iphone-se-32gb-prateado,441,iPhone SE 32GB Prateado
https://www.trocafone.com/vender/iphone/iphone-se/930-iphone-se-32gb-ouro-rosa,441,iPhone SE 32GB Ouro Rosa
https://www.trocafone.com/vender/iphone/iphone-se/929-iphone-se-32gb-dourado,441,iPhone SE 32GB Dourado
https://www.trocafone.com/vender/iphone/iphone-se/931-iphone-se-32gb-cinza-espacial,441,iPhone SE 32GB Cinza Espacial
https://www.trocafone.com/vender/iphone/iphone-se/574-iphone-se-16gb-prateado,437,iPhone SE 16GB Prateado
https://www.trocafone.com/vender/iphone/iphone-se/577-iphone-se-16gb-ouro-rosa,437,iPhone SE 16GB Ouro Rosa
https://www.trocafone.com/vender/iphone/iphone-se/575-iphone-se-16gb-dourado,437,iPhone SE 16GB Dourado
https://www.trocafone.com/vender/iphone/iphone-se/576-iphone-se-16gb-cinza-espacial,437,iPhone SE 16GB Cinza Espacial
https://www.trocafone.com/vender/iphone/iphone-se/934-iphone-se-128gb-prateado,498,iPhone SE 128GB Prateado
https://www.trocafone.com/vender/iphone/iphone-se/935-iphone-se-128gb-ouro-rosa,498,iPhone SE 128GB Ouro Rosa
https://www.trocafone.com/vender/iphone/iphone-se/933-iphone-se-128gb-dourado,498,iPhone SE 128GB Dourado
https://www.trocafone.com/vender/iphone/6-plus/178-iphone-6-plus-128gb-cinza-espacial,747,Iphone 6 Plus 128GB Cinza Espacial
https://www.trocafone.com/vender/iphone/iphone-6s-plus/640-iphone-6s-plus-32gb-prateado,811,iPhone 6s Plus 32GB Prateado
https://www.trocafone.com/vender/iphone/iphone-6s-plus/641-iphone-6s-plus-32gb-ouro-rosa,811,iPhone 6s Plus 32GB Ouro Rosa
https://www.trocafone.com/vender/iphone/iphone-6s-plus/638-iphone-6s-plus-32gb-dourado,811,iPhone 6s Plus 32GB Dourado
https://www.trocafone.com/vender/iphone/iphone-6s-plus/639-iphone-6s-plus-32gb-cinza-espacial,811,iPhone 6s Plus 32GB Cinza Espacial
https://www.trocafone.com/vender/iphone/iphone-6s-plus/495-iphone-6s-plus-64gb-prateado,829,iPhone 6S Plus 64GB Prateado
